status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,job_id,qbraid_job_id,qbraid_device_id,job_status,vendor,provider,measurement_counts_sdk,job_metadata,job_tags,job_created_at,job_ended_at,cost,job_execution_duration,shots,queue_position,queue_depth,circuit_num_qubits,circuit_depth_sdk,data_source
completed,10011,5,10011,"{""z"": 1756, ""y"": 1744, ""s"": 1645, ""sdg"": 1645, ""x"": 1622, ""h"": 1592, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5000,qbraid,dynamic_payload_gates,"{""0"": 7, ""1"": 3}",0.7,rigetti_ankaa_3-cmarquezb-qjob-cxvbh3fgyd5vyghl57h5,rigetti_ankaa_3-cmarquezb-qjob-cxvbh3fgyd5vyghl57h5,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 7, '1': 3}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-cxvbh3fgyd5vyghl57h5', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 19, 5), 'endedAt': datetime.datetime(2025, 9, 2, 17, 19, 11), 'executionDuration': 6000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:19:05,2025-09-02 17:19:11,30.9,6000.0,10.0,,,4.0,10005.0,quantum
completed,10013,5,10013,"{""z"": 1696, ""sdg"": 1668, ""s"": 1668, ""x"": 1662, ""h"": 1656, ""y"": 1656, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5001,qbraid,dynamic_payload_gates,"{""0"": 6, ""1"": 4}",0.6,rigetti_ankaa_3-cmarquezb-qjob-gmrgwe1h1pbcl139s793,rigetti_ankaa_3-cmarquezb-qjob-gmrgwe1h1pbcl139s793,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 6, '1': 4}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-gmrgwe1h1pbcl139s793', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 20, 30), 'endedAt': datetime.datetime(2025, 9, 2, 17, 20, 41), 'executionDuration': 11000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:20:30,2025-09-02 17:20:41,30.9,11000.0,10.0,,,4.0,10007.0,quantum
completed,10015,5,10015,"{""x"": 1694, ""sdg"": 1693, ""s"": 1693, ""y"": 1670, ""h"": 1634, ""z"": 1624, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5002,qbraid,dynamic_payload_gates,"{""0"": 9, ""1"": 1}",0.9,rigetti_ankaa_3-cmarquezb-qjob-qglvuayd0ypztkbj3ob0,rigetti_ankaa_3-cmarquezb-qjob-qglvuayd0ypztkbj3ob0,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 9, '1': 1}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-qglvuayd0ypztkbj3ob0', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 21, 54), 'endedAt': datetime.datetime(2025, 9, 2, 17, 21, 58), 'executionDuration': 4000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:21:54,2025-09-02 17:21:58,30.9,4000.0,10.0,,,4.0,10009.0,quantum
completed,10017,5,10017,"{""x"": 1804, ""y"": 1680, ""z"": 1664, ""s"": 1643, ""sdg"": 1643, ""h"": 1576, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5003,qbraid,dynamic_payload_gates,"{""0"": 7, ""1"": 3}",0.7,rigetti_ankaa_3-cmarquezb-qjob-nep0inmtv9j75key7l06,rigetti_ankaa_3-cmarquezb-qjob-nep0inmtv9j75key7l06,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 7, '1': 3}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-nep0inmtv9j75key7l06', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 22, 55), 'endedAt': datetime.datetime(2025, 9, 2, 17, 23, 3), 'executionDuration': 8000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:22:55,2025-09-02 17:23:03,30.9,8000.0,10.0,,,4.0,10011.0,quantum
completed,10019,5,10019,"{""s"": 1740, ""sdg"": 1740, ""h"": 1698, ""x"": 1686, ""y"": 1580, ""z"": 1568, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5004,qbraid,dynamic_payload_gates,"{""0"": 7, ""1"": 3}",0.7,rigetti_ankaa_3-cmarquezb-qjob-4qsjqhqxe908g3zlfbf6,rigetti_ankaa_3-cmarquezb-qjob-4qsjqhqxe908g3zlfbf6,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 7, '1': 3}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-4qsjqhqxe908g3zlfbf6', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 24, 24), 'endedAt': datetime.datetime(2025, 9, 2, 17, 24, 34), 'executionDuration': 10000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:24:24,2025-09-02 17:24:34,30.9,10000.0,10.0,,,4.0,10013.0,quantum
completed,10021,5,10021,"{""z"": 1730, ""x"": 1670, ""s"": 1667, ""sdg"": 1667, ""y"": 1664, ""h"": 1616, ""cx"": 5, ""barrier"": 4, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,5005,qbraid,dynamic_payload_gates,"{""0"": 5, ""1"": 5}",0.5,rigetti_ankaa_3-cmarquezb-qjob-8wwaigvz7sh2eytjtpek,rigetti_ankaa_3-cmarquezb-qjob-8wwaigvz7sh2eytjtpek,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 5, '1': 5}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-8wwaigvz7sh2eytjtpek', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 25, 43), 'endedAt': datetime.datetime(2025, 9, 2, 17, 25, 53), 'executionDuration': 10000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:25:43,2025-09-02 17:25:53,30.9,10000.0,10.0,,,4.0,10015.0,quantum
completed,5013,7,10016,"{""y"": 1688, ""h"": 1678, ""sdg"": 1673, ""s"": 1673, ""z"": 1672, ""x"": 1622, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5000,qbraid,dynamic_payload_gates,"{""00"": 3, ""01"": 3, ""10"": 2, ""11"": 2}",0.3,rigetti_ankaa_3-cmarquezb-qjob-ypt5yocg2pu47e78ldmj,rigetti_ankaa_3-cmarquezb-qjob-ypt5yocg2pu47e78ldmj,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 3, '01': 3, '10': 2, '11': 2}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-ypt5yocg2pu47e78ldmj', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 26, 56), 'endedAt': datetime.datetime(2025, 9, 2, 17, 27), 'executionDuration': 4000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:26:56,2025-09-02 17:27:00,30.9,4000.0,10.0,,,5.0,5007.0,quantum
completed,5013,7,10018,"{""y"": 1726, ""h"": 1698, ""sdg"": 1673, ""s"": 1673, ""z"": 1650, ""x"": 1588, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5001,qbraid,dynamic_payload_gates,"{""00"": 4, ""01"": 2, ""11"": 4}",0.4,rigetti_ankaa_3-cmarquezb-qjob-43hb5pygn6fq2hytuxal,rigetti_ankaa_3-cmarquezb-qjob-43hb5pygn6fq2hytuxal,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 4, '01': 2, '11': 4}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-43hb5pygn6fq2hytuxal', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 27, 49), 'endedAt': datetime.datetime(2025, 9, 2, 17, 28, 1), 'executionDuration': 12000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:27:49,2025-09-02 17:28:01,30.9,12000.0,10.0,,,5.0,5007.0,quantum
completed,5015,7,10020,"{""y"": 1700, ""x"": 1678, ""s"": 1678, ""sdg"": 1678, ""z"": 1640, ""h"": 1636, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5002,qbraid,dynamic_payload_gates,"{""00"": 1, ""01"": 4, ""10"": 3, ""11"": 2}",0.1,rigetti_ankaa_3-cmarquezb-qjob-9a0h1byvntacy40w5dlb,rigetti_ankaa_3-cmarquezb-qjob-9a0h1byvntacy40w5dlb,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 1, '01': 4, '10': 3, '11': 2}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-9a0h1byvntacy40w5dlb', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 29, 16), 'endedAt': datetime.datetime(2025, 9, 2, 17, 29, 29), 'executionDuration': 13000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:29:16,2025-09-02 17:29:29,30.9,13000.0,10.0,,,5.0,5009.0,quantum
completed,5015,7,10022,"{""z"": 1728, ""h"": 1704, ""y"": 1670, ""x"": 1658, ""s"": 1626, ""sdg"": 1626, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5003,qbraid,dynamic_payload_gates,"{""00"": 4, ""01"": 2, ""10"": 2, ""11"": 2}",0.4,rigetti_ankaa_3-cmarquezb-qjob-7qbzazcw78r1qvicm3e9,rigetti_ankaa_3-cmarquezb-qjob-7qbzazcw78r1qvicm3e9,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 4, '01': 2, '10': 2, '11': 2}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-7qbzazcw78r1qvicm3e9', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 30, 24), 'endedAt': datetime.datetime(2025, 9, 2, 17, 30, 30), 'executionDuration': 6000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:30:24,2025-09-02 17:30:30,30.9,6000.0,10.0,,,5.0,5009.0,quantum
completed,5017,7,10024,"{""x"": 1692, ""s"": 1688, ""sdg"": 1688, ""y"": 1652, ""z"": 1650, ""h"": 1644, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5004,qbraid,dynamic_payload_gates,"{""00"": 4, ""10"": 1, ""11"": 5}",0.4,rigetti_ankaa_3-cmarquezb-qjob-ipnecdsiw401nftcaulm,rigetti_ankaa_3-cmarquezb-qjob-ipnecdsiw401nftcaulm,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 4, '10': 1, '11': 5}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-ipnecdsiw401nftcaulm', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 31, 25), 'endedAt': datetime.datetime(2025, 9, 2, 17, 31, 34), 'executionDuration': 9000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:31:25,2025-09-02 17:31:34,30.9,9000.0,10.0,,,5.0,5011.0,quantum
completed,5017,7,10026,"{""x"": 1740, ""h"": 1700, ""z"": 1650, ""s"": 1649, ""sdg"": 1649, ""y"": 1628, ""cx"": 7, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,5005,qbraid,dynamic_payload_gates,"{""00"": 1, ""10"": 4, ""11"": 5}",0.1,rigetti_ankaa_3-cmarquezb-qjob-kna0jm35fjtpiba071t8,rigetti_ankaa_3-cmarquezb-qjob-kna0jm35fjtpiba071t8,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 1, '10': 4, '11': 5}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-kna0jm35fjtpiba071t8', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 2, 17, 32, 39), 'endedAt': datetime.datetime(2025, 9, 2, 17, 32, 47), 'executionDuration': 8000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-02 17:32:39,2025-09-02 17:32:47,30.9,8000.0,10.0,,,5.0,5011.0,quantum
